pais,año,pct_uso_<=17,pct_uso_18_25,pct_uso_26_50,pct_uso_51_65,pct_uso_66_mas,pct_uso_total,brecha_joven_mayor,brecha_total_mayor,brecha_joven_total,pct_uso_<=17_lag1,pct_uso_18_25_lag1,pct_uso_26_50_lag1,pct_uso_51_65_lag1,pct_uso_66_mas_lag1,pct_uso_total_lag1,delta_pct_uso_<=17,delta_pct_uso_18_25,delta_pct_uso_26_50,delta_pct_uso_51_65,delta_pct_uso_66_mas,delta_pct_uso_total,años_desde_2000,años_desde_primer_registro_pais,categoria_adopcion,pais_Bolivia (Estado Plurinacional de),pais_Brasil,pais_Chile,pais_Colombia,pais_Costa Rica,pais_Ecuador,pais_El Salvador,pais_Honduras,pais_México,pais_Panamá,pais_Paraguay,pais_Perú,pais_Uruguay,pct_uso_<=17_z,pct_uso_18_25_z,pct_uso_26_50_z,pct_uso_51_65_z,pct_uso_66_mas_z,pct_uso_total_z,brecha_joven_mayor_z,brecha_total_mayor_z,brecha_joven_total_z,pct_uso_<=17_lag1_z,pct_uso_18_25_lag1_z,pct_uso_26_50_lag1_z,pct_uso_51_65_lag1_z,pct_uso_66_mas_lag1_z,pct_uso_total_lag1_z,delta_pct_uso_<=17_z,delta_pct_uso_18_25_z,delta_pct_uso_26_50_z,delta_pct_uso_51_65_z,delta_pct_uso_66_mas_z,delta_pct_uso_total_z
Argentina,2016,75.9,86.4,82.0,60.9,28.6,71.1,57.800000000000004,42.49999999999999,15.300000000000011,,,,,,,,,,,,,16,0,Avanzada,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851074435235846,0.9212971103888099,1.2599180366867395,1.3358283248360654,1.0746272345569563,1.149329188503624,0.3384778628758897,0.7327441730650187,-0.4392973023809439,,,,,,,,,,,,
Argentina,2017,75.9,89.7,85.6,67.6,34.0,74.4,55.7,40.400000000000006,15.299999999999997,75.9,86.4,82.0,60.9,28.6,71.1,0.0,3.299999999999997,3.5999999999999943,6.699999999999996,5.399999999999999,3.3000000000000114,17,1,Avanzada,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851074435235846,1.0636285304282784,1.4002802582804876,1.63422015392166,1.450795529208605,1.3040754363728877,0.21869297712608057,0.56333554571678,-0.4392973023809459,1.0551883481667852,1.007084799230085,1.399005281617899,1.5388422388806682,1.3044693131084177,1.280955348275991,-0.6536987462292169,-0.05337551673453413,-0.16040884090688096,1.1517084046356778,1.4552592209458015,0.008122279392453866
Argentina,2018,78.5,90.2,88.1,73.8,39.7,77.7,50.5,38.0,12.5,75.9,89.7,85.6,67.6,34.0,74.4,2.5999999999999943,0.5,2.5,6.200000000000003,5.700000000000003,3.299999999999997,18,2,Madura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985129406400784,1.0851938971009252,1.497754023276146,1.9103439360605687,1.8478620624520123,1.4588216842421506,-0.07791721615916108,0.3697256858902198,-0.8298900771344627,1.0551883481667852,1.1500697953100785,1.5435674147989322,1.8568888979626306,1.7192317322634116,1.4403397924303323,-0.03836639819335094,-1.086065771838722,-0.57452554243178,0.9723805002388288,1.5875306179568727,0.008122279392447458
Argentina,2019,78.9,92.0,89.6,77.3,46.1,80.0,45.9,33.9,12.0,78.5,90.2,88.1,73.8,39.7,77.7,0.4000000000000057,1.7999999999999972,1.5,3.5,6.399999999999999,2.299999999999997,19,3,Madura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1159599401964622,1.1628292171224535,1.556238282273541,2.066220264687372,2.293691152409522,1.5666751297267882,-0.34030315637302866,0.038975508686513526,-0.8996387869118765,1.1690642485851142,1.1717341886555321,1.6439577850635387,2.151200731739969,2.157036508038128,1.5997242365846727,-0.5590322311467744,-0.6066024391117782,-0.950995271090781,0.004009816495830059,1.896163877649366,-0.4428042661883279
Argentina,2020,87.5,95.0,91.9,80.6,54.5,85.6,40.5,31.099999999999994,9.400000000000006,78.9,92.0,89.6,77.3,46.1,80.0,8.599999999999994,3.0,2.3000000000000114,3.299999999999997,8.399999999999999,5.599999999999994,20,4,Madura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4910704306587113,1.292221417158334,1.6459141460695472,2.2131893745355007,2.878841832978753,1.829274823080689,-0.6483214340153948,-0.18690266111113982,-1.2623320777544274,1.186583617880242,1.249726004699165,1.7041920072223027,2.3173445088723374,2.648606782592195,1.710810364328607,1.3816313280432657,-0.1640209012099819,-0.6498194881635759,-0.06772134526291154,2.777973191056495,1.0452533342282295
Argentina,2021,86.9,94.9,94.2,86.9,57.4,87.2,37.50000000000001,29.800000000000004,7.700000000000003,87.5,95.0,91.9,80.6,54.5,85.6,-0.5999999999999943,-0.09999999999999432,2.299999999999997,6.300000000000011,2.8999999999999986,1.6000000000000085,21,5,Madura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.464899931324136,1.2879083438238048,1.735590009865553,2.493766766063747,3.0808581393657497,1.9043033068960897,-0.8194426993722644,-0.2917746685171922,-1.4994776909976346,1.5632500577254853,1.3797123647718863,1.796551147865741,2.473994355882856,3.293792767944408,1.9812809362268815,-0.7956985188528771,-1.3073565407896175,-0.6498194881635813,1.0082460811182021,0.35299757918689034,-0.7584528480948656
Argentina,2022,86.5,96.8,95.2,88.4,62.7,88.5,34.099999999999994,25.799999999999997,8.299999999999997,86.9,94.9,94.2,86.9,57.4,87.2,-0.4000000000000057,1.8999999999999915,1.0,1.5,5.300000000000004,1.2999999999999972,22,6,Madura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.447452931767752,1.3698567371798622,1.7745795158638162,2.5605709069038056,3.450060354486813,1.9652639499961022,-1.0133801334433845,-0.6144577682281256,-1.4157792392647388,1.5369710037827942,1.375379486102796,1.8889102885091789,2.7730531547211195,3.51653554860172,2.058558242483532,-0.7483652613116593,-0.5697206442866307,-1.1392301354202816,-0.7133018010915757,1.4111687552754475,-0.8937308117691033
Bolivia (Estado Plurinacional de),2009,30.2,56.1,26.8,11.1,2.5,29.5,53.6,27.0,26.6,,,,,,,,,,,,,9,0,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0082122557932518,-0.38556410997358387,-0.892302694417399,-0.8820691510538776,-0.7435195229260131,-0.8014113906967825,0.09890809137627142,-0.5176528383148455,1.1370235385886063,,,,,,,,,,,,
Bolivia (Estado Plurinacional de),2010,33.166666666666664,58.2,28.900000000000002,12.333333333333334,2.9,31.5,55.300000000000004,28.6,26.700000000000003,30.2,56.1,26.8,11.1,2.5,29.5,2.966666666666665,2.1000000000000014,2.1000000000000014,1.2333333333333343,0.3999999999999999,2.0,10,1,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.878813675750073,-0.2949895699484674,-0.8104247318210458,-0.8271413019187184,-0.7156552048036687,-0.7076257859275321,0.1958768084118313,-0.38857959843047224,1.1509732805440893,-0.9463995938015438,-0.3057774375044015,-0.8176140938246125,-0.8251463614598867,-0.7002157128073874,-0.7282546143969081,0.04841124063222103,-0.49595705463632783,-0.7251134338953799,-0.8089433501032295,-0.7492640625720202,-0.5780822298625593
Bolivia (Estado Plurinacional de),2011,36.13333333333333,60.3,31.0,13.566666666666666,3.3000000000000003,33.5,57.0,30.2,26.799999999999997,33.166666666666664,58.2,28.900000000000002,12.333333333333334,2.9,31.5,2.9666666666666686,2.0999999999999943,2.099999999999998,1.2333333333333325,0.40000000000000036,2.0,11,2,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7494150957068939,-0.2044150299233513,-0.7285467692246927,-0.772213452783559,-0.6877908866813243,-0.6138401811582818,0.2928455254473908,-0.2595063585460993,1.1649230224995712,-0.8164642715293475,-0.21478698545349645,-0.733286182802343,-0.7666004590418141,-0.6694925706477581,-0.6316579815760957,0.048411240632221866,-0.49595705463633044,-0.7251134338953812,-0.8089433501032302,-0.74926406257202,-0.5780822298625593
